t	H	V	T	 P
0.01	762.221	-663.29	914.889	0
0.02	762.221	-646.722	904.256	0
0.03	762.221	-617.593	885.56	0
0.04	762.221	-572.416	856.566	0
0.05	762.221	-507.317	814.786	0
0.06	762.221	-421.273	759.563	0
0.07	762.221	-322.023	695.865	0
0.08	762.221	-229.401	636.42	0
0.09	762.221	-165.759	595.575	0
0.1	762.221	-139.704	578.853	0
0.11	762.221	-144.606	581.999	0
0.12	762.221	-168.559	597.372	0
0.13	762.221	-200.983	618.182	0
0.14	762.221	-234.869	639.93	0
0.15	762.221	-266.363	660.143	0
0.16	762.221	-292.869	677.154	0
0.17	762.221	-312.251	689.593	0
0.18	762.221	-323.518	696.824	0
0.19	762.221	-327.136	699.146	0
0.2	762.221	-324.709	697.589	0
0.21	762.221	-318.96	693.899	0
0.22	762.221	-313.578	690.445	0
0.23	762.221	-311.472	689.093	0
0.24	762.221	-312.659	689.855	0
0.25	762.221	-315.343	691.578	0
0.26	762.221	-318.499	693.603	0
0.27	762.221	-322.149	695.945	0
0.28	762.221	-326.241	698.572	0
0.29	762.221	-330.412	701.249	0
0.3	762.221	-334.427	703.825	0
0.31	762.221	-338.184	706.236	0
0.32	762.221	-341.409	708.307	0
0.33	762.221	-343.683	709.766	0
0.34	762.221	-344.726	710.435	0
0.35	762.221	-344.568	710.334	0
0.36	762.221	-343.456	709.62	0
0.37	762.221	-341.649	708.461	0
0.38	762.221	-339.246	706.919	0
0.39	762.221	-336.142	704.927	0
0.4	762.221	-332.114	702.341	0
